Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
IndiGrid Infrastructure Trust,INDIGRID,Utilities,Power Transmission & Distribution,9591.90281,33.61098469,-563.32,90.18602834,5384.24,19303.77,2664.81,3228.13,3.846480439,5.475057867,6.77755989,2.900392712,3.585235799,141.48
Maharashtra Seamless Ltd,MAHSEAMLES,Industrials,Building Products - Pipes,9548.116701,10.03691443,1009.32,14.93418184,5730.7,0,1041.42,32.1,70.9929336,18.11196174,19.99558281,1.403410287,0,696.75
ITD Cementation India Ltd,ITDCEM,Industrials,Construction & Engineering,9505.007023,34.72402376,347.94,9.864643858,1498.13,889.12,704.34,356.4,15.93417468,19.98306334,35.25867784,0.307248169,0.593486547,560.55
Azad Engineering Ltd,AZAD,Industrials,Renewable Energy Equipment & Services,9496.422399,162.1379956,-82.29,0,645.06,39.44,-6.95,75.34,16.97092121,13.7965962,18.32322134,,0.061141599,1417
Chennai Petroleum Corporation Ltd,CHENNPETRO,Energy,Oil & Gas - Refining & Marketing,9493.846307,3.458507909,2091.57,2.843972441,9320.92,2285.9,2694.25,602.68,184.3425016,33.690108,35.5399205,8.626774371,0.245244032,614.25
Ganesh Housing Corp Ltd,GANESHHOUC,Real Estate,Real Estate,9441.503265,20.49382085,609.55,41.21502402,1568.24,8.06,637.81,28.26,55.24836039,33.36507856,39.56304057,0.971516891,0.005139519,1065.35
Vesuvius India Ltd,VESUVIUS,Industrials,Industrial Machinery,9398.911687,35.53195103,-117.43,7.522113891,1193.54,13.03,82.38,199.81,130.33,19.43477249,28.43564163,0.313114081,0.010917104,4598.9
JM Financial Ltd,JMFINANCIL,Financials,Investment Banking & Brokerage,9380.644282,22.88855232,3581.32,7.196275824,11056.03,16227.73,3635.05,53.73,4.29230873,3.671434228,1.389379271,2.037371256,1.467771886,95.37
Engineers India Ltd,ENGINERSIN,Industrials,Construction & Engineering,9351.823044,21.00306123,187.96,4.120746726,2255.31,33.02,221.96,34,7.921000299,21.11823336,21.00164289,1.803261151,0.014641003,163.28
Mrs. Bectors Food Specialities Ltd,BECTORFOOD,Consumer Staples,FMCG - Foods,9305.191925,66.29046039,-61.8,11.28753134,662.89,244.9,153.41,215.21,23.86535675,23.25527456,23.43342723,0.20543025,0.369442894,1507.65
Netweb Technologies India Ltd,NETWEB,Information Technology,IT Services & Consulting,9277.354154,122.2151779,-0.2,1.327013657,422.75,9.58,18.37,18.57,14.15045345,29.39855157,24.95559298,0.121512809,0.022661147,1603.85
ASK Automotive Ltd,ASKAUTOLTD,Consumer Discretionary,Auto Parts,9138.545223,52.5929168,18.45,9.118396235,816.74,345.87,303.3,284.85,8.81392454,23.79442797,22.62578878,0.215726459,0.423476259,448.3
Allied Blenders and Distillers Ltd,ABDL,Consumer Staples,Alcoholic Beverages,9136.732082,4992.749772,139.65,9.925965889,406.93,834.75,185.69,46.04,0.074965078,0.45016789,29.59587767,,2.051335611,317.55
Time Technoplast Ltd,TIMETECHNO,Materials,Plastic Products,9131.625616,29.41415885,225.4,8.330716847,2616.28,829.32,406.24,180.84,13.70410819,12.55939365,17.93569992,0.049701789,0.316984421,413.7
Can Fin Homes Ltd,CANFINHOME,Financials,Home Financing,9125.052186,12.15571507,-2589.54,-110.0343684,4343.85,31862.94,-2569.6,19.94,56.37677391,18.78783101,3.197010532,0.875528965,7.335184226,680.1
JK Lakshmi Cement Ltd,JKLAKSHMI,Materials,Cement,9118.841765,19.32695046,-111.82,14.2908679,3357.03,2084.02,899.17,1010.99,40.09004464,15.22513234,15.7299127,0.838906353,0.620792784,793.1
RedTape,REDTAPE,Consumer Discretionary,Retail - Apparel,9077.6536,51.50733999,-35.14,0,648.43,480.06,84.37,119.51,1.275235724,31.32654331,28.12345374,,0.740342057,160.45
Alkyl Amines Chemicals Ltd,ALKYLAMINE,Materials,Specialty Chemicals,9074.157374,60.95356602,152.65,18.79718612,1267.14,3.17,274.97,122.32,29.1267959,12.22214468,15.25927565,0.563373467,0.002501697,1742.6
